Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5, , 
            4,   0.002635339, ,             4,   0.005270651, ,             4,   0.007905915, ,             4,    0.01054113, ,             4,    0.01317632, ,             4,    0.01581151, ,             4,    0.01844677, ,             4,    0.02108217, ,             4,    0.02371778, ,             4,    0.02635369, ,             4, -2.436195e-16, ,             4,  -0.002635339, ,             4,  -0.005270651, ,             4,  -0.007905915, ,             4,   -0.01054113, ,             4,   -0.01317632, ,             4,   -0.01581151, ,             4,   -0.01844677, ,             4,   -0.02108217, ,             4,   -0.02371778, ,             4,   -0.02635369, , 
          4.5,   0.002625264, ,           4.5,    0.00525047, ,           4.5,   0.007875576, ,           4.5,    0.01050057, ,           4.5,    0.01312546, ,           4.5,     0.0157503, ,           4.5,    0.01837514, ,           4.5,    0.02100007, ,           4.5,    0.02362515, ,           4.5,    0.02625046, ,           4.5, -2.574373e-16, ,           4.5,  -0.002625264, ,           4.5,   -0.00525047, ,           4.5,  -0.007875576, ,           4.5,   -0.01050057, ,           4.5,   -0.01312546, ,           4.5,    -0.0157503, ,           4.5,   -0.01837514, ,           4.5,   -0.02100007, ,           4.5,   -0.02362515, ,           4.5,   -0.02625046, , 
            5,   0.002613861, ,             5,   0.005227617, ,             5,   0.007841191, ,             5,    0.01045455, ,             5,    0.01306771, ,             5,    0.01568073, ,             5,    0.01829369, ,             5,    0.02090665, ,             5,    0.02351966, ,             5,    0.02613275, ,             5, -2.863647e-16, ,             5,  -0.002613861, ,             5,  -0.005227617, ,             5,  -0.007841191, ,             5,   -0.01045455, ,             5,   -0.01306771, ,             5,   -0.01568073, ,             5,   -0.01829369, ,             5,   -0.02090665, ,             5,   -0.02351966, ,             5,   -0.02613275, , 
          5.5,    0.00260123, ,           5.5,   0.005202279, ,           5.5,   0.007803017, ,           5.5,    0.01040339, ,           5.5,    0.01300343, ,           5.5,    0.01560323, ,           5.5,     0.0182029, ,           5.5,     0.0208025, ,           5.5,      0.023402, ,           5.5,     0.0260013, ,           5.5, -2.972958e-16, ,           5.5,   -0.00260123, ,           5.5,  -0.005202279, ,           5.5,  -0.007803017, ,           5.5,   -0.01040339, ,           5.5,   -0.01300343, ,           5.5,   -0.01560323, ,           5.5,    -0.0182029, ,           5.5,    -0.0208025, ,           5.5,     -0.023402, ,           5.5,    -0.0260013, , 
            6,   0.002587512, ,             6,   0.005174714, ,             6,    0.00776139, ,             6,    0.01034747, ,             6,    0.01293304, ,             6,    0.01551829, ,             6,     0.0181034, ,             6,    0.02068843, ,             6,    0.02327321, ,             6,    0.02585734, ,             6, -3.195284e-16, ,             6,  -0.002587512, ,             6,  -0.005174714, ,             6,   -0.00776139, ,             6,   -0.01034747, ,             6,   -0.01293304, ,             6,   -0.01551829, ,             6,    -0.0181034, ,             6,   -0.02068843, ,             6,   -0.02327321, ,             6,   -0.02585734, , 
          6.5,   0.002572908, ,           6.5,   0.005145278, ,           6.5,    0.00771675, ,           6.5,    0.01028726, ,           6.5,    0.01285702, ,           6.5,    0.01542644, ,           6.5,     0.0179959, ,           6.5,    0.02056553, ,           6.5,    0.02313494, ,           6.5,    0.02570305, ,           6.5, -3.309139e-16, ,           6.5,  -0.002572908, ,           6.5,  -0.005145278, ,           6.5,   -0.00771675, ,           6.5,   -0.01028726, ,           6.5,   -0.01285702, ,           6.5,   -0.01542644, ,           6.5,    -0.0179959, ,           6.5,   -0.02056553, ,           6.5,   -0.02313494, ,           6.5,   -0.02570305, , 
            7,   0.002557727, ,             7,   0.005114481, ,             7,   0.007669661, ,             7,    0.01022325, ,             7,    0.01277578, ,             7,     0.0153281, ,             7,    0.01788106, ,             7,    0.02043508, ,             7,    0.02298957, ,             7,    0.02554224, ,             7, -3.541757e-16, ,             7,  -0.002557727, ,             7,  -0.005114481, ,             7,  -0.007669661, ,             7,   -0.01022325, ,             7,   -0.01277578, ,             7,    -0.0153281, ,             7,   -0.01788106, ,             7,   -0.02043508, ,             7,   -0.02298957, ,             7,   -0.02554224, , 
          7.5,   0.002542475, ,           7.5,   0.005083104, ,           7.5,   0.007620839, ,           7.5,    0.01015587, ,           7.5,    0.01268945, ,           7.5,    0.01522328, ,           7.5,    0.01775908, ,           7.5,    0.02029816, ,           7.5,    0.02284025, ,           7.5,    0.02538144, ,           7.5, -3.734072e-16, ,           7.5,  -0.002542475, ,           7.5,  -0.005083104, ,           7.5,  -0.007620839, ,           7.5,   -0.01015587, ,           7.5,   -0.01268945, ,           7.5,   -0.01522328, ,           7.5,   -0.01775908, ,           7.5,   -0.02029816, ,           7.5,   -0.02284025, ,           7.5,   -0.02538144, , 
            8,   0.002528105, ,             8,   0.005052489, ,             8,   0.007571184, ,             8,    0.01008511, ,             8,    0.01259729, ,             8,    0.01511092, ,             8,    0.01762893, ,             8,    0.02015458, ,             8,    0.02269004, ,             8,    0.02523106, ,             8, -3.917324e-16, ,             8,  -0.002528105, ,             8,  -0.005052489, ,             8,  -0.007571184, ,             8,   -0.01008511, ,             8,   -0.01259729, ,             8,   -0.01511092, ,             8,   -0.01762893, ,             8,   -0.02015458, ,             8,   -0.02269004, ,             8,   -0.02523106, , 
          8.5,   0.002516662, ,           8.5,   0.005025416, ,           8.5,   0.007521865, ,           8.5,    0.01000934, ,           8.5,    0.01249622, ,           8.5,    0.01498793, ,           8.5,    0.01748721, ,           8.5,     0.0200006, ,           8.5,    0.02253875, ,           8.5,    0.02510432, ,           8.5, -4.012679e-16, ,           8.5,  -0.002516662, ,           8.5,  -0.005025416, ,           8.5,  -0.007521865, ,           8.5,   -0.01000934, ,           8.5,   -0.01249622, ,           8.5,   -0.01498793, ,           8.5,   -0.01748721, ,           8.5,    -0.0200006, ,           8.5,   -0.02253875, ,           8.5,   -0.02510432, , 
            9,   0.002512901, ,             9,   0.005009134, ,             9,    0.00747496, ,             9,   0.009921172, ,             9,     0.0123766, ,             9,    0.01484799, ,             9,    0.01732759, ,             9,     0.0198252, ,             9,    0.02237653, ,             9,    0.02500805, ,             9, -4.164576e-16, ,             9,  -0.002512901, ,             9,  -0.005009134, ,             9,   -0.00747496, ,             9,  -0.009921172, ,             9,    -0.0123766, ,             9,   -0.01484799, ,             9,   -0.01732759, ,             9,    -0.0198252, ,             9,   -0.02237653, ,             9,   -0.02500805, , 
          9.5,   0.002526682, ,           9.5,   0.005026663, ,           9.5,   0.007438991, ,           9.5,   0.009789895, ,           9.5,    0.01221109, ,           9.5,    0.01468442, ,           9.5,    0.01714627, ,           9.5,    0.01960208, ,           9.5,    0.02218036, ,           9.5,    0.02493203, ,           9.5, -4.425103e-16, ,           9.5,  -0.002526682, ,           9.5,  -0.005026663, ,           9.5,  -0.007438991, ,           9.5,  -0.009789895, ,           9.5,   -0.01221109, ,           9.5,   -0.01468442, ,           9.5,   -0.01714627, ,           9.5,   -0.01960208, ,           9.5,   -0.02218036, ,           9.5,   -0.02493203, , 
           10,   0.002564407, ,            10,   0.005152123, ,            10,   0.007490593, ,            10,   0.009459625, ,            10,    0.01194484, ,            10,    0.01451985, ,            10,    0.01698644, ,            10,    0.01929275, ,            10,    0.02206262, ,            10,    0.02485707, ,            10, -4.524471e-16, ,            10,  -0.002564407, ,            10,  -0.005152123, ,            10,  -0.007490593, ,            10,  -0.009459625, ,            10,   -0.01194484, ,            10,   -0.01451985, ,            10,   -0.01698644, ,            10,   -0.01929275, ,            10,   -0.02206262, ,            10,   -0.02485707, , 
         10.5,    0.00255579, ,          10.5,   0.005397134, ,          10.5,   0.009658048, ,          10.5,   0.008189462, ,          10.5,    0.01165052, ,          10.5,    0.01447833, ,          10.5,    0.01703691, ,          10.5,    0.01919757, ,          10.5,    0.02148571, ,          10.5,    0.02430776, ,          10.5, -4.749683e-16, ,          10.5,   -0.00255579, ,          10.5,  -0.005397134, ,          10.5,  -0.009658048, ,          10.5,  -0.008189462, ,          10.5,   -0.01165052, ,          10.5,   -0.01447833, ,          10.5,   -0.01703691, ,          10.5,   -0.01919757, ,          10.5,   -0.02148571, ,          10.5,   -0.02430776, , 
           11,   0.002223058, ,            11,   0.005193425, ,            11,   0.007274399, ,            11,   0.008869368, ,            11,    0.01163994, ,            11,     0.0149421, ,            11,    0.01678183, ,            11,    0.01959874, ,            11,    0.02220119, ,            11,     0.0233688, ,            11, -4.751718e-16, ,            11,  -0.002223058, ,            11,  -0.005193425, ,            11,  -0.007274399, ,            11,  -0.008869368, ,            11,   -0.01163994, ,            11,    -0.0149421, ,            11,   -0.01678183, ,            11,   -0.01959874, ,            11,   -0.02220119, ,            11,    -0.0233688, , 
         11.5,   0.001382124, ,          11.5,   0.004466783, ,          11.5,   0.006569499, ,          11.5,   0.009395029, ,          11.5,    0.01121241, ,          11.5,    0.01449346, ,          11.5,    0.01632017, ,          11.5,    0.01875758, ,          11.5,    0.02155805, ,          11.5,    0.02269518, ,          11.5, -5.088547e-16, ,          11.5,  -0.001382124, ,          11.5,  -0.004466783, ,          11.5,  -0.006569499, ,          11.5,  -0.009395029, ,          11.5,   -0.01121241, ,          11.5,   -0.01449346, ,          11.5,   -0.01632017, ,          11.5,   -0.01875758, ,          11.5,   -0.02155805, ,          11.5,   -0.02269518, , 
           12,   0.001725796, ,            12,    0.00454556, ,            12,   0.006653965, ,            12,   0.008907612, ,            12,    0.01113898, ,            12,    0.01388922, ,            12,    0.01762795, ,            12,    0.01819889, ,            12,    0.02133252, ,            12,    0.02141733, ,            12, -5.095524e-16, ,            12,  -0.001725796, ,            12,   -0.00454556, ,            12,  -0.006653965, ,            12,  -0.008907612, ,            12,   -0.01113898, ,            12,   -0.01388922, ,            12,   -0.01762795, ,            12,   -0.01819889, ,            12,   -0.02133252, ,            12,   -0.02141733, , 

