Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5, , 
            7,  -0.001620705, ,             7,  -0.003240873, ,             7,  -0.004859938, ,             7,  -0.006477255, ,             7,  -0.008092186, ,             7,  -0.009704167, ,             7,   -0.01131277, ,             7,   -0.01291786, ,             7,   -0.01451955, ,             7,   -0.01611806, ,             7, -1.403971e-17, ,             7,   0.001620705, ,             7,   0.003240873, ,             7,   0.004859938, ,             7,   0.006477255, ,             7,   0.008092186, ,             7,   0.009704167, ,             7,    0.01131277, ,             7,    0.01291786, ,             7,    0.01451955, ,             7,    0.01611806, , 
          7.5,  -0.001639357, ,           7.5,  -0.003278258, ,           7.5,  -0.004916085, ,           7.5,  -0.006552073, ,           7.5,  -0.008185339, ,           7.5,  -0.009815046, ,           7.5,   -0.01144065, ,           7.5,   -0.01306204, ,           7.5,    -0.0146796, ,           7.5,   -0.01629403, ,           7.5, -8.442503e-18, ,           7.5,   0.001639357, ,           7.5,   0.003278258, ,           7.5,   0.004916085, ,           7.5,   0.006552073, ,           7.5,   0.008185339, ,           7.5,   0.009815046, ,           7.5,    0.01144065, ,           7.5,    0.01306204, ,           7.5,     0.0146796, ,           7.5,    0.01629403, , 
            8,   -0.00165805, ,             8,  -0.003315848, ,             8,  -0.004972851, ,             8,  -0.006628101, ,             8,  -0.008280345, ,             8,  -0.009928262, ,             8,   -0.01157086, ,             8,   -0.01320791, ,             8,   -0.01484033, ,             8,   -0.01646994, ,             8,  -1.13113e-17, ,             8,    0.00165805, ,             8,   0.003315848, ,             8,   0.004972851, ,             8,   0.006628101, ,             8,   0.008280345, ,             8,   0.009928262, ,             8,    0.01157086, ,             8,    0.01320791, ,             8,    0.01484033, ,             8,    0.01646994, , 
          8.5,  -0.001676433, ,           8.5,  -0.003353216, ,           8.5,  -0.005030083, ,           8.5,  -0.006705817, ,           8.5,  -0.008378426, ,           8.5,   -0.01004563, ,           8.5,   -0.01170551, ,           8.5,   -0.01335718, ,           8.5,   -0.01500211, ,           8.5,    -0.0166446, ,           8.5, -1.267195e-17, ,           8.5,   0.001676433, ,           8.5,   0.003353216, ,           8.5,   0.005030083, ,           8.5,   0.006705817, ,           8.5,   0.008378426, ,           8.5,    0.01004563, ,           8.5,    0.01170551, ,           8.5,    0.01335718, ,           8.5,    0.01500211, ,           8.5,     0.0166446, , 
            9,  -0.001694559, ,             9,  -0.003390874, ,             9,  -0.005089352, ,             9,  -0.006788362, ,             9,  -0.008484509, ,             9,   -0.01017388, ,             9,   -0.01185308, ,             9,   -0.01351897, ,             9,     -0.015172, ,             9,   -0.01682308, ,             9, -1.193184e-17, ,             9,   0.001694559, ,             9,   0.003390874, ,             9,   0.005089352, ,             9,   0.006788362, ,             9,   0.008484509, ,             9,    0.01017388, ,             9,    0.01185308, ,             9,    0.01351897, ,             9,      0.015172, ,             9,    0.01682308, , 
          9.5,  -0.001709643, ,           9.5,  -0.003424161, ,           9.5,  -0.005145525, ,           9.5,  -0.006871469, ,           9.5,  -0.008595649, ,           9.5,   -0.01031107, ,           9.5,   -0.01201333, ,           9.5,   -0.01369594, ,           9.5,   -0.01534483, ,           9.5,   -0.01699141, ,           9.5, -2.668004e-17, ,           9.5,   0.001709643, ,           9.5,   0.003424161, ,           9.5,   0.005145525, ,           9.5,   0.006871469, ,           9.5,   0.008595649, ,           9.5,    0.01031107, ,           9.5,    0.01201333, ,           9.5,    0.01369594, ,           9.5,    0.01534483, ,           9.5,    0.01699141, , 
           10,  -0.001717822, ,            10,  -0.003447367, ,            10,  -0.005193276, ,            10,  -0.006953498, ,            10,  -0.008714324, ,            10,   -0.01046078, ,            10,   -0.01218998, ,            10,   -0.01391046, ,            10,   -0.01551929, ,            10,   -0.01712783, ,            10, -2.609915e-17, ,            10,   0.001717822, ,            10,   0.003447367, ,            10,   0.005193276, ,            10,   0.006953498, ,            10,   0.008714324, ,            10,    0.01046078, ,            10,    0.01218998, ,            10,    0.01391046, ,            10,    0.01551929, ,            10,    0.01712783, , 
         10.5,   -0.00170972, ,          10.5,  -0.003450175, ,          10.5,  -0.005218749, ,          10.5,  -0.007030654, ,          10.5,  -0.008845383, ,          10.5,   -0.01063433, ,          10.5,   -0.01236737, ,          10.5,   -0.01415355, ,          10.5,   -0.01584975, ,          10.5,   -0.01719808, ,          10.5, -2.553552e-17, ,          10.5,    0.00170972, ,          10.5,   0.003450175, ,          10.5,   0.005218749, ,          10.5,   0.007030654, ,          10.5,   0.008845383, ,          10.5,    0.01063433, ,          10.5,    0.01236737, ,          10.5,    0.01415355, ,          10.5,    0.01584975, ,          10.5,    0.01719808, , 
           11,  -0.001648396, ,            11,   -0.00346612, ,            11,  -0.005169658, ,            11,  -0.007113124, ,            11,  -0.008969782, ,            11,   -0.01095579, ,            11,   -0.01242945, ,            11,    -0.0144135, ,            11,   -0.01590112, ,            11,    -0.0171855, ,            11, -2.593218e-17, ,            11,   0.001648396, ,            11,    0.00346612, ,            11,   0.005169658, ,            11,   0.007113124, ,            11,   0.008969782, ,            11,    0.01095579, ,            11,    0.01242945, ,            11,     0.0144135, ,            11,    0.01590112, ,            11,     0.0171855, , 
         11.5,  -0.001489476, ,          11.5,  -0.003470917, ,          11.5,  -0.005067219, ,          11.5,  -0.007209884, ,          11.5,  -0.008987585, ,          11.5,    -0.0111288, ,          11.5,   -0.01245574, ,          11.5,   -0.01440638, ,          11.5,    -0.0166251, ,          11.5,   -0.01752821, ,          11.5, -2.606228e-17, ,          11.5,   0.001489476, ,          11.5,   0.003470917, ,          11.5,   0.005067219, ,          11.5,   0.007209884, ,          11.5,   0.008987585, ,          11.5,     0.0111288, ,          11.5,    0.01245574, ,          11.5,    0.01440638, ,          11.5,     0.0166251, ,          11.5,    0.01752821, , 
           12,   -0.00166454, ,            12,  -0.003589747, ,            12,  -0.004901397, ,            12,  -0.007208994, ,            12,  -0.009151025, ,            12,   -0.01112707, ,            12,   -0.01335972, ,            12,   -0.01438111, ,            12,   -0.01677204, ,            12,   -0.01710761, ,            12, -2.483924e-17, ,            12,    0.00166454, ,            12,   0.003589747, ,            12,   0.004901397, ,            12,   0.007208994, ,            12,   0.009151025, ,            12,    0.01112707, ,            12,    0.01335972, ,            12,    0.01438111, ,            12,    0.01677204, ,            12,    0.01710761, , 

