Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5, , 
            4,   0.001597307, ,             4,   0.003194035, ,             4,   0.004789605, ,             4,   0.006383427, ,             4,   0.007974899, ,             4,   0.009563394, ,             4,    0.01114825, ,             4,    0.01272878, ,             4,    0.01430424, ,             4,    0.01587388, ,             4, -9.327435e-16, ,             4,  -0.001597307, ,             4,  -0.003194035, ,             4,  -0.004789605, ,             4,  -0.006383427, ,             4,  -0.007974899, ,             4,  -0.009563394, ,             4,   -0.01114825, ,             4,   -0.01272878, ,             4,   -0.01430424, ,             4,   -0.01587388, , 
          4.5,   0.001653851, ,           4.5,   0.003307116, ,           4.5,   0.004959209, ,           4.5,   0.006609538, ,           4.5,   0.008257492, ,           4.5,   0.009902427, ,           4.5,    0.01154364, ,           4.5,    0.01318038, ,           4.5,    0.01481182, ,           4.5,    0.01643709, ,           4.5, -1.022391e-15, ,           4.5,  -0.001653851, ,           4.5,  -0.003307116, ,           4.5,  -0.004959209, ,           4.5,  -0.006609538, ,           4.5,  -0.008257492, ,           4.5,  -0.009902427, ,           4.5,   -0.01154364, ,           4.5,   -0.01318038, ,           4.5,   -0.01481182, ,           4.5,   -0.01643709, , 
            5,   0.001709581, ,             5,   0.003418577, ,             5,   0.005126408, ,             5,   0.006832495, ,             5,   0.008536244, ,             5,    0.01023701, ,             5,    0.01193408, ,             5,    0.01362661, ,             5,    0.01531365, ,             5,    0.01699417, ,             5, -1.085881e-15, ,             5,  -0.001709581, ,             5,  -0.003418577, ,             5,  -0.005126408, ,             5,  -0.006832495, ,             5,  -0.008536244, ,             5,   -0.01023701, ,             5,   -0.01193408, ,             5,   -0.01362661, ,             5,   -0.01531365, ,             5,   -0.01699417, , 
          5.5,   0.001764358, ,           5.5,   0.003528134, ,           5.5,   0.005290767, ,           5.5,    0.00705172, ,           5.5,   0.008810456, ,           5.5,    0.01056638, ,           5.5,    0.01231878, ,           5.5,    0.01406672, ,           5.5,    0.01580907, ,           5.5,    0.01754456, ,           5.5, -1.172714e-15, ,           5.5,  -0.001764358, ,           5.5,  -0.003528134, ,           5.5,  -0.005290767, ,           5.5,   -0.00705172, ,           5.5,  -0.008810456, ,           5.5,   -0.01056638, ,           5.5,   -0.01231878, ,           5.5,   -0.01406672, ,           5.5,   -0.01580907, ,           5.5,   -0.01754456, , 
            6,    0.00181803, ,             6,    0.00363547, ,             6,   0.005451786, ,             6,   0.007266523, ,             6,   0.009079272, ,             6,    0.01088958, ,             6,    0.01269678, ,             6,    0.01449989, ,             6,     0.0162975, ,             6,    0.01808789, ,             6, -1.276379e-15, ,             6,   -0.00181803, ,             6,   -0.00363547, ,             6,  -0.005451786, ,             6,  -0.007266523, ,             6,  -0.009079272, ,             6,   -0.01088958, ,             6,   -0.01269678, ,             6,   -0.01449989, ,             6,    -0.0162975, ,             6,   -0.01808789, , 
          6.5,   0.001870446, ,           6.5,   0.003740251, ,           6.5,   0.005608898, ,           6.5,   0.007476064, ,           6.5,   0.009341592, ,           6.5,    0.01120533, ,           6.5,    0.01306687, ,           6.5,    0.01492516, ,           6.5,    0.01677839, ,           6.5,    0.01862406, ,           6.5, -1.347318e-15, ,           6.5,  -0.001870446, ,           6.5,  -0.003740251, ,           6.5,  -0.005608898, ,           6.5,  -0.007476064, ,           6.5,  -0.009341592, ,           6.5,   -0.01120533, ,           6.5,   -0.01306687, ,           6.5,   -0.01492516, ,           6.5,   -0.01677839, ,           6.5,   -0.01862406, , 
            7,   0.001921485, ,             7,   0.003842165, ,             7,   0.005761487, ,             7,   0.007679313, ,             7,   0.009595934, ,             7,    0.01151185, ,             7,    0.01342723, ,             7,    0.01534122, ,             7,    0.01725131, ,             7,    0.01915356, ,             7, -1.421009e-15, ,             7,  -0.001921485, ,             7,  -0.003842165, ,             7,  -0.005761487, ,             7,  -0.007679313, ,             7,  -0.009595934, ,             7,   -0.01151185, ,             7,   -0.01342723, ,             7,   -0.01534122, ,             7,   -0.01725131, ,             7,   -0.01915356, , 
          7.5,   0.001971117, ,           7.5,   0.003941026, ,           7.5,   0.005908984, ,           7.5,    0.00787506, ,           7.5,   0.009840273, ,           7.5,    0.01180636, ,           7.5,    0.01377494, ,           7.5,    0.01574597, ,           7.5,    0.01771596, ,           7.5,    0.01967796, ,           7.5, -1.531929e-15, ,           7.5,  -0.001971117, ,           7.5,  -0.003941026, ,           7.5,  -0.005908984, ,           7.5,   -0.00787506, ,           7.5,  -0.009840273, ,           7.5,   -0.01180636, ,           7.5,   -0.01377494, ,           7.5,   -0.01574597, ,           7.5,   -0.01771596, ,           7.5,   -0.01967796, , 
            8,   0.002019528, ,             8,   0.004036987, ,             8,   0.006051103, ,             8,   0.008062058, ,             8,    0.01007189, ,             8,    0.01208449, ,             8,    0.01410473, ,             8,    0.01613548, ,             8,    0.01817223, ,             8,    0.02020117, ,             8, -1.631771e-15, ,             8,  -0.002019528, ,             8,  -0.004036987, ,             8,  -0.006051103, ,             8,  -0.008062058, ,             8,   -0.01007189, ,             8,   -0.01208449, ,             8,   -0.01410473, ,             8,   -0.01613548, ,             8,   -0.01817223, ,             8,   -0.02020117, , 
          8.5,   0.002067333, ,           8.5,   0.004130933, ,           8.5,    0.00618834, ,           8.5,   0.008239498, ,           8.5,    0.01028755, ,           8.5,    0.01233941, ,           8.5,    0.01440634, ,           8.5,    0.01650072, ,           8.5,    0.01862028, ,           8.5,    0.02073302, ,           8.5, -1.669144e-15, ,           8.5,  -0.002067333, ,           8.5,  -0.004130933, ,           8.5,   -0.00618834, ,           8.5,  -0.008239498, ,           8.5,   -0.01028755, ,           8.5,   -0.01233941, ,           8.5,   -0.01440634, ,           8.5,   -0.01650072, ,           8.5,   -0.01862028, ,           8.5,   -0.02073302, , 
            9,   0.002115896, ,             9,    0.00422512, ,             9,   0.006322866, ,             9,   0.008408075, ,             9,    0.01048464, ,             9,    0.01256196, ,             9,     0.0146594, ,             9,    0.01681655, ,             9,    0.01906077, ,             9,    0.02130086, ,             9, -1.802338e-15, ,             9,  -0.002115896, ,             9,   -0.00422512, ,             9,  -0.006322866, ,             9,  -0.008408075, ,             9,   -0.01048464, ,             9,   -0.01256196, ,             9,    -0.0146594, ,             9,   -0.01681655, ,             9,   -0.01906077, ,             9,   -0.02130086, , 
          9.5,   0.002167745, ,           9.5,   0.004324122, ,           9.5,   0.006459934, ,           9.5,   0.008571614, ,           9.5,    0.01066414, ,           9.5,     0.0127465, ,           9.5,     0.0148317, ,           9.5,    0.01699429, ,           9.5,    0.01949826, ,           9.5,     0.0219957, ,           9.5, -1.838738e-15, ,           9.5,  -0.002167745, ,           9.5,  -0.004324122, ,           9.5,  -0.006459934, ,           9.5,  -0.008571614, ,           9.5,   -0.01066414, ,           9.5,    -0.0127465, ,           9.5,    -0.0148317, ,           9.5,   -0.01699429, ,           9.5,   -0.01949826, ,           9.5,    -0.0219957, , 
           10,   0.002226875, ,            10,   0.004435905, ,            10,   0.006610594, ,            10,   0.008738169, ,            10,    0.01083237, ,            10,    0.01290701, ,            10,    0.01493703, ,            10,    0.01677907, ,            10,    0.02024351, ,            10,    0.02305327, ,            10, -1.929736e-15, ,            10,  -0.002226875, ,            10,  -0.004435905, ,            10,  -0.006610594, ,            10,  -0.008738169, ,            10,   -0.01083237, ,            10,   -0.01290701, ,            10,   -0.01493703, ,            10,   -0.01677907, ,            10,   -0.02024351, ,            10,   -0.02305327, , 
         10.5,   0.002299825, ,          10.5,   0.004568075, ,          10.5,   0.006803544, ,          10.5,    0.00891667, ,          10.5,    0.01099364, ,          10.5,    0.01305743, ,          10.5,    0.01516853, ,          10.5,    0.01696515, ,          10.5,    0.01955145, ,          10.5,    0.02401708, ,          10.5, -2.016354e-15, ,          10.5,  -0.002299825, ,          10.5,  -0.004568075, ,          10.5,  -0.006803544, ,          10.5,   -0.00891667, ,          10.5,   -0.01099364, ,          10.5,   -0.01305743, ,          10.5,   -0.01516853, ,          10.5,   -0.01696515, ,          10.5,   -0.01955145, ,          10.5,   -0.02401708, , 
           11,   0.002442741, ,            11,   0.004538571, ,            11,   0.007160183, ,            11,   0.009058853, ,            11,    0.01121844, ,            11,    0.01286426, ,            11,    0.01588149, ,            11,    0.01742181, ,            11,    0.02103625, ,            11,     0.0246243, ,            11, -2.078789e-15, ,            11,  -0.002442741, ,            11,  -0.004538571, ,            11,  -0.007160183, ,            11,  -0.009058853, ,            11,   -0.01121844, ,            11,   -0.01286426, ,            11,   -0.01588149, ,            11,   -0.01742181, ,            11,   -0.02103625, ,            11,    -0.0246243, , 
         11.5,   0.002842671, ,          11.5,    0.00458229, ,          11.5,   0.007490707, ,          11.5,   0.009146084, ,          11.5,    0.01173635, ,          11.5,    0.01331859, ,          11.5,    0.01637332, ,          11.5,    0.01834084, ,          11.5,    0.02027421, ,          11.5,    0.02445637, ,          11.5, -2.224634e-15, ,          11.5,  -0.002842671, ,          11.5,   -0.00458229, ,          11.5,  -0.007490707, ,          11.5,  -0.009146084, ,          11.5,   -0.01173635, ,          11.5,   -0.01331859, ,          11.5,   -0.01637332, ,          11.5,   -0.01834084, ,          11.5,   -0.02027421, ,          11.5,   -0.02445637, , 
           12,   0.002757479, ,            12,   0.004925591, ,            12,   0.007716617, ,            12,   0.009525284, ,            12,    0.01186265, ,            12,    0.01384032, ,            12,    0.01573123, ,            12,    0.01904875, ,            12,    0.02099545, ,            12,    0.02508541, ,            12, -2.256612e-15, ,            12,  -0.002757479, ,            12,  -0.004925591, ,            12,  -0.007716617, ,            12,  -0.009525284, ,            12,   -0.01186265, ,            12,   -0.01384032, ,            12,   -0.01573123, ,            12,   -0.01904875, ,            12,   -0.02099545, ,            12,   -0.02508541, , 

