Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5
5,0.078039, ,5,0.155984, ,5,0.23343, ,5,0.309066, ,5,0.384667, ,5,0.453255, ,5,0.527769, ,5,0.62141, ,5,0.697449, ,5,0.77173, ,5,-2.86E-16, ,5,-0.078039, ,5,-0.155984, ,5,-0.23343, ,5,-0.309066, ,5,-0.384667, ,5,-0.453255, ,5,-0.527769, ,5,-0.62141, ,5,-0.697449, ,5,-0.77173
5.5,0.077818, ,5.5,0.15563, ,5.5,0.2325, ,5.5,0.308117, ,5.5,0.384601, ,5.5,0.465054, ,5.5,0.533568, ,5.5,0.618693, ,5.5,0.698807, ,5.5,0.766156, ,5.5,-2.97E-16, ,5.5,-0.077818, ,5.5,-0.15563, ,5.5,-0.2325, ,5.5,-0.308117, ,5.5,-0.384601, ,5.5,-0.465054, ,5.5,-0.533568, ,5.5,-0.618693, ,5.5,-0.698807, ,5.5,-0.766156
6,0.077576, ,6,0.155217, ,6,0.232097, ,6,0.307871, ,6,0.384887, ,6,0.460191, ,6,0.538595, ,6,0.613136, ,6,0.692939, ,6,0.76591, ,6,-3.20E-16, ,6,-0.077576, ,6,-0.155217, ,6,-0.232097, ,6,-0.307871, ,6,-0.384887, ,6,-0.460191, ,6,-0.538595, ,6,-0.613136, ,6,-0.692939, ,6,-0.76591
6.5,0.077267, ,6.5,0.154709, ,6.5,0.247861, ,6.5,0.307815, ,6.5,0.385222, ,6.5,0.45648, ,6.5,0.536406, ,6.5,0.616107, ,6.5,0.6898, ,6.5,0.766801, ,6.5,-3.31E-16, ,6.5,-0.077267, ,6.5,-0.154709, ,6.5,-0.247861, ,6.5,-0.307815, ,6.5,-0.385222, ,6.5,-0.45648, ,6.5,-0.536406, ,6.5,-0.616107, ,6.5,-0.6898, ,6.5,-0.766801
7,0.076856, ,7,0.153932, ,7,0.230777, ,7,0.307828, ,7,0.386994, ,7,0.467045, ,7,0.541059, ,7,0.616834, ,7,0.690701, ,7,0.768416, ,7,-3.54E-16, ,7,-0.076856, ,7,-0.153932, ,7,-0.230777, ,7,-0.307828, ,7,-0.386994, ,7,-0.467045, ,7,-0.541059, ,7,-0.616834, ,7,-0.690701, ,7,-0.768416
7.5,0.076546, ,7.5,0.153103, ,7.5,0.229419, ,7.5,0.305877, ,7.5,0.384377, ,7.5,0.477883, ,7.5,0.538198, ,7.5,0.612516, ,7.5,0.688831, ,7.5,0.768121, ,7.5,-3.73E-16, ,7.5,-0.076546, ,7.5,-0.153103, ,7.5,-0.229419, ,7.5,-0.305877, ,7.5,-0.384377, ,7.5,-0.477883, ,7.5,-0.538198, ,7.5,-0.612516, ,7.5,-0.688831, ,7.5,-0.768121
8,0.076012, ,8,0.152283, ,8,0.226366, ,8,0.301878, ,8,0.376046, ,8,0.440689, ,8,0.530456, ,8,0.608454, ,8,0.681259, ,8,0.756246, ,8,-3.92E-16, ,8,-0.076012, ,8,-0.152283, ,8,-0.226366, ,8,-0.301878, ,8,-0.376046, ,8,-0.440689, ,8,-0.530456, ,8,-0.608454, ,8,-0.681259, ,8,-0.756246
8.5,0.075237, ,8.5,0.150644, ,8.5,0.225251, ,8.5,0.29956, ,8.5,0.375264, ,8.5,0.448859, ,8.5,0.534555, ,8.5,0.602463, ,8.5,0.662585, ,8.5,0.742938, ,8.5,-4.01E-16, ,8.5,-0.075237, ,8.5,-0.150644, ,8.5,-0.225251, ,8.5,-0.29956, ,8.5,-0.375264, ,8.5,-0.448859, ,8.5,-0.534555, ,8.5,-0.602463, ,8.5,-0.662585, ,8.5,-0.742938
9,0.074477, ,9,0.148828, ,9,0.222634, ,9,0.29639, ,9,0.372939, ,9,0.491988, ,9,0.51915, ,9,0.591387, ,9,0.662258, ,9,0.734885, ,9,-4.16E-16, ,9,-0.074477, ,9,-0.148828, ,9,-0.222634, ,9,-0.29639, ,9,-0.372939, ,9,-0.491988, ,9,-0.51915, ,9,-0.591387, ,9,-0.662258, ,9,-0.734885
9.5,0.073589, ,9.5,0.147206, ,9.5,0.218307, ,9.5,0.29062, ,9.5,0.361061, ,9.5,0.425232, ,9.5,0.506127, ,9.5,0.578692, ,9.5,0.647273, ,9.5,0.713009, ,9.5,-4.43E-16, ,9.5,-0.073589, ,9.5,-0.147206, ,9.5,-0.218307, ,9.5,-0.29062, ,9.5,-0.361061, ,9.5,-0.425232, ,9.5,-0.506127, ,9.5,-0.578692, ,9.5,-0.647273, ,9.5,-0.713009
10,0.072565, ,10,0.145163, ,10,0.215644, ,10,0.285601, ,10,0.355965, ,10,0.427016, ,10,0.496594, ,10,0.566168, ,10,0.621814, ,10,0.681109, ,10,-4.52E-16, ,10,-0.072565, ,10,-0.145163, ,10,-0.215644, ,10,-0.285601, ,10,-0.355965, ,10,-0.427016, ,10,-0.496594, ,10,-0.566168, ,10,-0.621814, ,10,-0.681109
10.5,0.071406, ,10.5,0.142892, ,10.5,0.212114, ,10.5,0.281039, ,10.5,0.350533, ,10.5,0.414464, ,10.5,0.484581, ,10.5,0.554165, ,10.5,0.603627, ,10.5,0.650027, ,10.5,-4.75E-16, ,10.5,-0.071406, ,10.5,-0.142892, ,10.5,-0.212114, ,10.5,-0.281039, ,10.5,-0.350533, ,10.5,-0.414464, ,10.5,-0.484581, ,10.5,-0.554165, ,10.5,-0.603627, ,10.5,-0.650027
11,0.070043, ,11,0.140252, ,11,0.207663, ,11,0.27638, ,11,0.344511, ,11,0.41701, ,11,0.472335, ,11,0.538612, ,11,0.580903, ,11,0.618449, ,11,-4.75E-16, ,11,-0.070043, ,11,-0.140252, ,11,-0.207663, ,11,-0.27638, ,11,-0.344511, ,11,-0.41701, ,11,-0.472335, ,11,-0.538612, ,11,-0.580903, ,11,-0.618449
11.5,0.068525, ,11.5,0.136857, ,11.5,0.204194, ,11.5,0.271269, ,11.5,0.341277, ,11.5,0.408938, ,11.5,0.460602, ,11.5,0.517223, ,11.5,0.555785, ,11.5,0.699071, ,11.5,-5.09E-16, ,11.5,-0.068525, ,11.5,-0.136857, ,11.5,-0.204194, ,11.5,-0.271269, ,11.5,-0.341277, ,11.5,-0.408938, ,11.5,-0.460602, ,11.5,-0.517223, ,11.5,-0.555785, ,11.5,-0.699071
12,0.066835, ,12,0.133651, ,12,0.197956, ,12,0.262353, ,12,0.324886, ,12,0.390932, ,12,0.439967, ,12,0.490744, ,12,0.544111, ,12,8.443739, ,12,-5.10E-16, ,12,-0.066835, ,12,-0.133651, ,12,-0.197956, ,12,-0.262353, ,12,-0.324886, ,12,-0.390932, ,12,-0.439967, ,12,-0.490744, ,12,-0.544111, ,12,-8.443739
