Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5, , 
5.5,-0.020292, ,5.5,-0.040518, ,5.5,-0.060642, ,5.5,-0.080607, ,5.5,-0.100346, ,5.5,-0.120374, ,5.5,-0.139028, ,5.5,-0.159936, ,5.5,-0.180001, ,5.5,-0.199375, ,5.5,-1.17E-15, ,5.5,0.020292, ,5.5,0.040518, ,5.5,0.060642, ,5.5,0.080607, ,5.5,0.100346, ,5.5,0.120374, ,5.5,0.139028, ,5.5,0.159936, ,5.5,0.180001, ,5.5,0.199375, , 
6,-0.021945, ,6,-0.043837, ,6,-0.065637, ,6,-0.087309, ,6,-0.108824, ,6,-0.129978, ,6,-0.151825, ,6,-0.17296, ,6,-0.194859, ,6,-0.216055, ,6,-1.28E-15, ,6,0.021945, ,6,0.043837, ,6,0.065637, ,6,0.087309, ,6,0.108824, ,6,0.129978, ,6,0.151825, ,6,0.17296, ,6,0.194859, ,6,0.216055, , 
6.5,-0.0236, ,6.5,-0.047162, ,6.5,-0.070658, ,6.5,-0.094062, ,6.5,-0.117322, ,6.5,-0.139741, ,6.5,-0.163196, ,6.5,-0.186928, ,6.5,-0.210032, ,6.5,-0.232963, ,6.5,-1.35E-15, ,6.5,0.0236, ,6.5,0.047162, ,6.5,0.070658, ,6.5,0.094062, ,6.5,0.117322, ,6.5,0.139741, ,6.5,0.163196, ,6.5,0.186928, ,6.5,0.210032, ,6.5,0.232963, , 
7,-0.025228, ,7,-0.050444, ,7,-0.075611, ,7,-0.100744, ,7,-0.125934, ,7,-0.151016, ,7,-0.175652, ,7,-0.200365, ,7,-0.224998, ,7,-0.249602, ,7,-1.42E-15, ,7,0.025228, ,7,0.050444, ,7,0.075611, ,7,0.100744, ,7,0.125934, ,7,0.151016, ,7,0.175652, ,7,0.200365, ,7,0.224998, ,7,0.249602, , 
7.5,-0.026828, ,7.5,-0.053621, ,7.5,-0.080366, ,7.5,-0.107067, ,7.5,-0.133879, ,7.5,-0.162005, ,7.5,-0.186775, ,7.5,-0.212811, ,7.5,-0.238912, ,7.5,-0.264982, ,7.5,-1.53E-15, ,7.5,0.026828, ,7.5,0.053621, ,7.5,0.080366, ,7.5,0.107067, ,7.5,0.133879, ,7.5,0.162005, ,7.5,0.186775, ,7.5,0.212811, ,7.5,0.238912, ,7.5,0.264982, , 
8,-0.028338, ,8,-0.056619, ,8,-0.084815, ,8,-0.112852, ,8,-0.140439, ,8,-0.166445, ,8,-0.196484, ,8,-0.224044, ,8,-0.250928, ,8,-0.277109, ,8,-1.63E-15, ,8,0.028338, ,8,0.056619, ,8,0.084815, ,8,0.112852, ,8,0.140439, ,8,0.166445, ,8,0.196484, ,8,0.224044, ,8,0.250928, ,8,0.277109, , 
8.5,-0.029714, ,8.5,-0.059371, ,8.5,-0.088903, ,8.5,-0.118246, ,8.5,-0.147301, ,8.5,-0.175592, ,8.5,-0.206717, ,8.5,-0.233179, ,8.5,-0.260461, ,8.5,-0.285634, ,8.5,-1.67E-15, ,8.5,0.029714, ,8.5,0.059371, ,8.5,0.088903, ,8.5,0.118246, ,8.5,0.147301, ,8.5,0.175592, ,8.5,0.206717, ,8.5,0.233179, ,8.5,0.260461, ,8.5,0.285634, , 
9,-0.030952, ,9,-0.06181, ,9,-0.092501, ,9,-0.122967, ,9,-0.153369, ,9,-0.189028, ,9,-0.211854, ,9,-0.240084, ,9,-0.266441, ,9,-0.28916, ,9,-1.80E-15, ,9,0.030952, ,9,0.06181, ,9,0.092501, ,9,0.122967, ,9,0.153369, ,9,0.189028, ,9,0.211854, ,9,0.240084, ,9,0.266441, ,9,0.28916, , 
9.5,-0.03199, ,9.5,-0.06384, ,9.5,-0.095428, ,9.5,-0.126585, ,9.5,-0.156908, ,9.5,-0.185831, ,9.5,-0.215891, ,9.5,-0.24307, ,9.5,-0.266698, ,9.5,-0.281747, ,9.5,-1.84E-15, ,9.5,0.03199, ,9.5,0.06384, ,9.5,0.095428, ,9.5,0.126585, ,9.5,0.156908, ,9.5,0.185831, ,9.5,0.215891, ,9.5,0.24307, ,9.5,0.266698, ,9.5,0.281747, , 
10,-0.032775, ,10,-0.065356, ,10,-0.097551, ,10,-0.129092, ,10,-0.159611, ,10,-0.188827, ,10,-0.216894, ,10,-0.240787, ,10,-0.258196, ,10,-0.255777, ,10,-1.93E-15, ,10,0.032775, ,10,0.065356, ,10,0.097551, ,10,0.129092, ,10,0.159611, ,10,0.188827, ,10,0.216894, ,10,0.240787, ,10,0.258196, ,10,0.255777, , 
10.5,-0.033251, ,10.5,-0.066241, ,10.5,-0.098692, ,10.5,-0.130233, ,10.5,-0.160337, ,10.5,-0.187612, ,10.5,-0.212906, ,10.5,-0.232178, ,10.5,-0.236195, ,10.5,-0.195454, ,10.5,-2.02E-15, ,10.5,0.033251, ,10.5,0.066241, ,10.5,0.098692, ,10.5,0.130233, ,10.5,0.160337, ,10.5,0.187612, ,10.5,0.212906, ,10.5,0.232178, ,10.5,0.236195, ,10.5,0.195454, , 
11,-0.033338, ,11,-0.066326, ,11,-0.098566, ,11,-0.129535, ,11,-0.158352, ,11,-0.18495, ,11,-0.202933, ,11,-0.21237, ,11,-0.191104, ,11,-0.052408, ,11,-2.08E-15, ,11,0.033338, ,11,0.066326, ,11,0.098566, ,11,0.129535, ,11,0.158352, ,11,0.18495, ,11,0.202933, ,11,0.21237, ,11,0.191104, ,11,0.052408, , 
11.5,-0.03294, ,11.5,-0.065387, ,11.5,-0.096776, ,11.5,-0.126375, ,11.5,-0.153284, ,11.5,-0.17485, ,11.5,-0.184846, ,11.5,-0.175339, ,11.5,-0.102493, ,11.5,0.365699, ,11.5,-2.22E-15, ,11.5,0.03294, ,11.5,0.065387, ,11.5,0.096776, ,11.5,0.126375, ,11.5,0.153284, ,11.5,0.17485, ,11.5,0.184846, ,11.5,0.175339, ,11.5,0.102493, ,11.5,-0.365699, , 
12,-0.031928, ,12,-0.063142, ,12,-0.092812, ,12,-0.119741, ,12,-0.141795, ,12,-0.15686, ,12,-0.152325, ,12,-0.110069, ,12,0.079455, ,12,3.613619, ,12,-2.26E-15, ,12,0.031928, ,12,0.063142, ,12,0.092812, ,12,0.119741, ,12,0.141795, ,12,0.15686, ,12,0.152325, ,12,0.110069, ,12,-0.079455, ,12,-3.613619, , 
